CRFyear	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	260	270	280	290	300	310	320	330	340	350	360	370	380	390	400	410	420	430	440	450	460	470	480	490	500	510	520	530	540	550	560	570	580	590	600
CF4	0.49683	1.82778	3.22783	4.17791	4.8225	5.25961	5.5561	5.75688	5.89267	5.9843	6.04639	6.08792	6.11581	6.1342	6.14635	6.15414	6.15897	6.16224	6.1638	6.16458	6.16474	6.16489	6.16505	6.1652	6.16536	6.16552	6.16567	6.16583	6.16598	6.16614	6.1663	6.16645	6.16661	6.16676	6.16692	6.16708	6.16723	6.16739	6.16754	6.1677	6.16785	6.16801	6.16817	6.16832	6.16848	6.16863	6.16879	6.16895	6.1691	6.16926	6.16941	6.16957	6.16973	6.16988	6.17004	6.17019	6.17035	6.17051	6.17066	6.17082	6.17097
C2F6	0.5099	1.87538	3.31069	4.28299	4.941	5.38561	5.68551	5.88699	6.02169	6.11106	6.16976	6.20755	6.23123	6.24522	6.25278	6.25589	6.25597	6.25418	6.25075	6.24647	6.24156	6.23665	6.23175	6.22686	6.22196	6.21707	6.21219	6.20731	6.20243	6.19755	6.19269	6.18782	6.18296	6.1781	6.17324	6.16839	6.16355	6.1587	6.15386	6.14903	6.1442	6.13937	6.13454	6.12972	6.12491	6.12009	6.11528	6.11048	6.10568	6.10088	6.09609	6.0913	6.08651	6.08173	6.07695	6.07217	6.0674	6.06263	6.05787	6.05311	6.04835
C4F10	0.51345	1.8869	3.32672	4.29633	4.94677	5.38042	5.66709	5.85403	5.9731	6.04622	6.08826	6.10912	6.11568	6.11253	6.10303	6.08888	6.07184	6.05283	6.03259	6.01142	5.98973	5.96812	5.94659	5.92513	5.90376	5.88246	5.86124	5.84009	5.81902	5.79803	5.77711	5.75626	5.7355	5.7148	5.69419	5.67364	5.65317	5.63278	5.61246	5.59221	5.57203	5.55193	5.5319	5.51194	5.49205	5.47224	5.4525	5.43283	5.41322	5.39369	5.37424	5.35485	5.33553	5.31628	5.2971	5.27799	5.25894	5.23997	5.22107	5.20223	5.18346
cC4F8	0.50674	1.86265	3.28506	4.24436	4.88929	5.32079	5.60751	5.79599	5.91767	5.99401	6.03966	6.06448	6.07527	6.07638	6.07114	6.06137	6.04867	6.03411	6.01821	6.00133	5.98392	5.96657	5.94926	5.932	5.91479	5.89764	5.88053	5.86347	5.84646	5.8295	5.81259	5.79573	5.77892	5.76216	5.74544	5.72878	5.71216	5.69559	5.67907	5.6626	5.64617	5.62979	5.61346	5.59718	5.58094	5.56475	5.54861	5.53252	5.51647	5.50047	5.48451	5.4686	5.45274	5.43692	5.42115	5.40543	5.38975	5.37411	5.35852	5.34298	5.32748
C3F8	0.50869	1.86943	3.29594	4.25657	4.90099	5.33065	5.61463	5.79986	5.91785	5.9903	6.03197	6.05263	6.05918	6.05603	6.04653	6.03249	6.01555	5.99686	5.97682	5.95575	5.93427	5.91287	5.89154	5.87029	5.84912	5.82802	5.807	5.78605	5.76518	5.74439	5.72367	5.70303	5.68246	5.66196	5.64154	5.62119	5.60092	5.58071	5.56059	5.54053	5.52055	5.50063	5.48079	5.46103	5.44133	5.4217	5.40215	5.38266	5.36325	5.3439	5.32463	5.30542	5.28629	5.26722	5.24822	5.22929	5.21043	5.19164	5.17291	5.15426	5.13566
C5F12	0.50696	1.86378	3.28806	4.25003	4.89818	5.33319	5.62362	5.81597	5.94161	6.022	6.07175	6.10059	6.11541	6.12055	6.11935	6.11366	6.10498	6.0944	6.08253	6.06965	6.05628	6.04294	6.02962	6.01634	6.00308	5.98986	5.97666	5.96349	5.95035	5.93724	5.92416	5.91111	5.89809	5.88509	5.87213	5.85919	5.84628	5.8334	5.82055	5.80772	5.79493	5.78216	5.76942	5.75671	5.74403	5.73137	5.71875	5.70615	5.69357	5.68103	5.66851	5.65603	5.64356	5.63113	5.61872	5.60635	5.59399	5.58167	5.56937	5.5571	5.54486
C6F14	0.51012	1.87504	3.30689	4.27258	4.92184	5.35623	5.64482	5.83454	5.95696	6.03384	6.07983	6.1048	6.1156	6.11679	6.11156	6.10169	6.08896	6.07425	6.05827	6.04129	6.02382	6.00641	5.98904	5.97172	5.95446	5.93724	5.92007	5.90296	5.88589	5.86887	5.8519	5.83498	5.81811	5.80129	5.78452	5.76779	5.75111	5.73449	5.7179	5.70137	5.68489	5.66845	5.65206	5.63572	5.61942	5.60318	5.58698	5.57082	5.55471	5.53865	5.52264	5.50667	5.49075	5.47487	5.45904	5.44326	5.42752	5.41183	5.39618	5.38058	5.36502
C7F16	0.51012	1.87504	3.30689	4.27258	4.92184	5.35623	5.64482	5.83454	5.95696	6.03384	6.07983	6.1048	6.1156	6.11679	6.11156	6.10169	6.08896	6.07425	6.05827	6.04129	6.02382	6.00641	5.98904	5.97172	5.95446	5.93724	5.92007	5.90296	5.88589	5.86887	5.8519	5.83498	5.81811	5.80129	5.78452	5.76779	5.75111	5.73449	5.7179	5.70137	5.68489	5.66845	5.65206	5.63572	5.61942	5.60318	5.58698	5.57082	5.55471	5.53865	5.52264	5.50667	5.49075	5.47487	5.45904	5.44326	5.42752	5.41183	5.39618	5.38058	5.36502
CO2KP	0.89294	3.04823	4.88009	5.64051	5.81112	5.65686	5.33664	4.94965	4.55284	4.17492	3.82924	3.52007	3.24671	3.00624	2.79496	2.60913	2.44647	2.30707	2.19067	2.09467	2.01525	1.93885	1.86534	1.79461	1.72657	1.66111	1.59813	1.53754	1.47924	1.42316	1.3692	1.31729	1.26734	1.21929	1.17306	1.12859	1.0858	1.04463	1.00503	0.96692	0.93026	0.89499	0.86106	0.82841	0.797	0.76678	0.73771	0.70974	0.68283	0.65694	0.63204	0.60807	0.58502	0.56284	0.5415	0.52097	0.50122	0.48221	0.46393	0.44634	0.42942
CO2eq	0.89294	3.04823	4.88009	5.64051	5.81112	5.65686	5.33664	4.94965	4.55284	4.17492	3.82924	3.52007	3.24671	3.00624	2.79496	2.60913	2.44647	2.30707	2.19067	2.09467	2.01525	1.93885	1.86534	1.79461	1.72657	1.66111	1.59813	1.53754	1.47924	1.42316	1.3692	1.31729	1.26734	1.21929	1.17306	1.12859	1.0858	1.04463	1.00503	0.96692	0.93026	0.89499	0.86106	0.82841	0.797	0.76678	0.73771	0.70974	0.68283	0.65694	0.63204	0.60807	0.58502	0.56284	0.5415	0.52097	0.50122	0.48221	0.46393	0.44634	0.42942
allowance	0.89294	3.04823	4.88009	5.64051	5.81112	5.65686	5.33664	4.94965	4.55284	4.17492	3.82924	3.52007	3.24671	3.00624	2.79496	2.60913	2.44647	2.30707	2.19067	2.09467	2.01525	1.93885	1.86534	1.79461	1.72657	1.66111	1.59813	1.53754	1.47924	1.42316	1.3692	1.31729	1.26734	1.21929	1.17306	1.12859	1.0858	1.04463	1.00503	0.96692	0.93026	0.89499	0.86106	0.82841	0.797	0.76678	0.73771	0.70974	0.68283	0.65694	0.63204	0.60807	0.58502	0.56284	0.5415	0.52097	0.50122	0.48221	0.46393	0.44634	0.42942
