Region	1990 	1995 	2000 	2005 	2010 	2020 	2030 	2050 	2100 
SEA	3272.893000	4053.494000	4637.162000	5612.680000	6826.090000	9341.045000	12785.308000	16573.416000	16442.591000
CPA	4232.971000	5509.955000	5688.835000	6922.420000	8138.490000	10757.623000	12987.927000	14574.517000	10673.677000
AFRICA	1635.171000	1771.801000	2182.507000	2033.330000	2476.457000	2664.655000	3631.125000	5643.478000	8197.857000
USA	6524.839000	6963.533000	7675.803000	8089.536000	8374.315000	8791.005000	9224.514000	9174.383000	8003.502000
LA	2212.830000	2478.366000	2915.168000	2962.262000	3282.690000	3694.945000	4203.404000	5261.400000	4610.914000
ME	885.704000	1072.491000	1374.429000	1565.470000	1765.490000	2195.211000	2945.350000	4559.504000	4329.465000
EEFSU	7060.864000	5225.429000	4762.856000	5080.680000	5270.863000	5476.201000	5262.968000	5880.214000	4159.709000
W-OECD	5352.477000	5436.461000	5722.187000	5983.453000	6131.627000	6308.426000	6259.360000	5921.346000	3999.687000
ROW	857.371000	932.711000	1018.951000	1144.985000	1297.231000	1572.894000	2014.834000	2469.240000	2503.378000
P-OECD	1893.381000	2006.527000	2142.440000	2259.389000	2318.602000	2413.544000	2291.745000	1956.151000	1329.513000
