CC	2000	2005	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
HTI	3.696529664	5.71799157048963	8.0381611480337	10.637394020925	13.5169203938903	16.5997457589744	19.9418977875129	23.3117924236905	26.8914473858749	30.6808626740662	34.6800382882644	37.5780892646465	40.4894310194195	43.4140635525834	46.3519868641382	49.3032009540839	52.2677058224205	55.245501469148	58.2365878942664	61.2409650977756	64.2586330796758
HND	5.962758144	7.65214606747649	9.62022832384812	11.8613754335501	14.3341578670981	16.8820257303957	19.6333613068269	22.1728081959146	24.8523850142719	27.6720917618987	30.631928438795	32.6957412295333	34.7786067986329	36.8805251460938	39.0014962719159	41.1415201760993	43.3005968586439	45.4787263195499	47.6759085588171	49.8921435764456	52.1274313724354
GUY	0.712328832	0.833170949006438	0.938885607881099	1.03127893511663	1.11880665752975	1.19357014913354	1.26205544096646	1.27098165767621	1.26554649241011	1.24574994516816	1.21159201595037	1.24915983350625	1.2823862201969	1.31127117602234	1.33581470098257	1.35601679507757	1.37187745830736	1.38339669067194	1.39057449217129	1.39341086280543	1.39190580257435
GTM	19.290566656	23.3547062491929	28.137067946987	33.7126855069166	39.732432714399	46.0643068801692	52.826678281047	59.1137987844674	65.7466324841923	72.7251793802218	80.0494394725558	84.3513347528147	88.7333848253912	93.1955896902852	97.7379493474966	102.360463797026	107.063133038872	111.845957073036	116.708935899518	121.652069518317	126.675357929433
ECU	15.94164224	18.7574700375923	21.7211144309796	25.0342570289248	28.5726714201078	32.0385108958416	35.6876914999882	38.780798377774	41.965997940553	45.2432901883253	48.6126751210907	50.9093527584803	53.1828341868114	55.433119406084	57.6602084162981	59.8641012174537	62.0447978095509	64.2022981925895	66.3366023665697	68.4477103314914	70.5356220873545
DOM	19.703281664	22.2181360546358	24.8555576220532	27.5306053665113	30.3324333714393	32.9702792630512	35.7150437930682	37.811213924853	39.9659944039926	42.1793852304872	44.4513864043366	45.4099272760815	46.3492940985143	47.2694868716351	48.1705055954438	49.0523502699404	49.915020895125	50.7585174709975	51.5828399975579	52.3879884748063	53.1739629027426
CRI	15.946326016	17.5726812906377	18.9572414569345	20.2113702248316	21.4670556095696	22.5370150365516	23.6082966961694	24.2661212284638	24.9247495457228	25.5841816479463	26.2444175351343	26.1309365820301	26.0172937267405	25.9034889692654	25.7895223096048	25.6753937477588	25.5611032837273	25.4466509175103	25.3320366491079	25.21726047852	25.1023224057466
COL	83.778625536	95.0555282820432	106.309417819539	117.553742327935	129.359520198994	140.447935684793	151.991875879006	160.975507457776	170.18396184435	179.61723903873	189.275339040915	195.777758809443	202.280717436012	208.784214920622	215.288251263274	221.792826463968	228.297940522703	234.80359343948	241.309785214298	247.816515847157	254.323785338058
CHL	75.775148032	79.458984575222	82.8587771094768	85.7760403076313	88.632572400171	90.5655524433916	92.4525705402365	92.6705111851931	92.8707570860884	93.0533082429225	93.2181646556954	92.1957117880532	91.1766685613768	90.1610349756661	89.1488110309212	88.1399967271421	87.1345920643287	86.132597042481	85.1340116615991	84.138835921683	83.1470698227326
BRA	601.732022272	651.621728829583	700.513607207716	744.352228661804	788.878446506627	825.910450993953	863.482059921566	887.436110318393	911.678241021238	936.208452030101	961.026743344982	960.739785221988	960.305235969202	959.723095586624	958.993364074254	958.116041432093	957.091127660139	955.918622758394	954.598526726857	953.130839565528	951.515561274407
BOL	8.397858304	10.6944104285235	13.2379845268549	15.9776373011864	18.9663632706314	22.0158781337059	25.281762741882	28.283290185508	31.4300457460109	34.7220294233907	38.1592412176476	40.7499844819659	43.3727138680892	46.0274293760175	48.7141310057508	51.4328187572892	54.1834926306325	56.9661526257809	59.7807987427342	62.6274309814926	65.506049342056
BLZ	0.832	0.947121932759106	1.06098891744899	1.17174242211361	1.28452984856144	1.38684103283649	1.49093635902663	1.57311878860139	1.65662148319331	1.74144444280241	1.82758766742869	1.84058286951624	1.85349551795889	1.86632561275664	1.87907315390947	1.8917381414174	1.90432057528042	1.91682045549853	1.92923778207173	1.94157255500003	1.95382477428342
BHS	4.88	5.00837623906426	5.11276040727319	5.17884629937987	5.22213972417398	5.19676757569103	5.1528015722952	5.0158229754779	4.86774804589001	4.70857678353153	4.53830918840245	4.23657542196481	3.93893245545656	3.64538028887769	3.3559189222282	3.0705483555081	2.78926858871739	2.51207962185606	2.23898145492411	1.96997408792155	1.70505752084838
ARG	284.20374528	291.500290990856	299.159815650176	305.265752729784	310.698313189131	313.075915406995	314.905905047871	312.566083600878	309.880590697806	306.849426338657	303.47259052343	293.236478905103	283.063407856812	272.953377378558	262.90638747034	252.922438132159	243.001529364014	233.143661165906	223.348833537834	213.617046479798	203.948299991799
o_AFRICA	6.34954843025062	7.35859928292769	8.4393513547344	9.59869149048011	10.7499842313518	11.8871246151026	13.016259246385	14.1201455593999	15.2161445405373	16.304256189797	17.384480507179	18.3781376774191	19.364455408354	20.3434336999838	21.3150725523084	22.279371965328	23.2363319390425	24.1859524734518	25.128233568556	26.0631752243551	26.9907774408491
LBY	34.495012864	36.490800848922	38.3941097687639	39.6727718029406	40.6289243697685	40.4216525098731	39.9878220454726	38.9427201744777	37.720610443073	36.3214928512584	34.7453673990339	31.8786140971061	29.0280550119401	26.1936901435358	23.3755194918934	20.5735430570127	17.7877608388939	15.0181728375368	12.2647790529415	9.527579485108	6.80657413403628
ZWE	7.39922432	7.76196995413715	8.23653660315542	8.78603310477198	9.34597358055689	9.87670994442575	10.4169978734552	10.9262968725533	11.4442550278042	11.9708723392081	12.5061488067649	12.6298107357806	12.753270550865	12.876528252018	12.9995838392396	13.1224373125298	13.2450886718887	13.3675379173162	13.4897850488123	13.611830066377	13.7336729700104
ZMB	3.237720064	3.79364026912149	4.43425445066997	5.17334267335807	5.96562451229734	6.83362864068242	7.75708421404584	8.69551419255199	9.68570851958292	10.7276671951387	11.8213902192192	12.5325126486652	13.2619301647242	14.0096427673962	14.7756504566812	15.5599532325792	16.3625510950903	17.1834440442143	18.0226320799514	18.8801152023014	19.7558934112645
ZAF	132.877647872	135.03485974591	133.378914327855	130.551679590957	127.503827538476	124.178328598451	120.637499228088	116.04267671354	111.318215367019	106.464115188526	101.48037617806	94.9023130720333	88.3827050558724	81.9215521295769	75.5188542931466	69.1746115465818	62.8888238898822	56.6614913230481	50.4926138460792	44.3821914589757	38.3302241617375
UGA	5.926505984	7.64892303115012	9.81853427806924	12.6290685321875	15.7471884388985	19.5501887947432	23.7113573835502	28.413821628117	33.4961029660006	38.958201397201	44.800116921718	49.9589902931886	55.3960591313112	61.1113234360857	67.1047832075123	73.3764384455909	79.9262891503215	86.7543353217041	93.8605769597387	101.245014064425	108.907646635764
TZA	9.079262208	11.1979053039431	13.6640712722261	16.4972379768072	19.5796874309033	22.930529205084	26.5329329895414	30.1181481185959	33.9262863464554	37.95734767312	42.2113320985896	44.6327714921345	47.0965780763876	49.6027518513489	52.1512928170183	54.7422009733958	57.3754763204815	60.0511188582753	62.7691285867773	65.5295055059874	68.3322496159057
TUN	19.468374016	19.9069880114045	20.3089292818438	20.5731970257143	20.7687417210367	20.6983226380805	20.574328430445	20.0085309297891	19.4214542027459	18.8130982493155	18.1834630694977	17.1181227805214	16.0728591118041	15.0476720633457	14.0425616351462	13.0575278272056	12.0925706395239	11.1476900721012	10.2228861249373	9.31815879803243	8.43350809138643
