ERI	AFRICA	0.7303	3158.00	3213.00	3684.00	4344.23	4527.00	5323.00	6937.00	8433.00	11465.00	14044.33
ESP	W-OECD	655.0066	38851.00	39388.00	40229.00	42744.04	43397.00	45108.00	46445.00	46682.00	46401.00	36192.68
EST	EEFSU	7.1874	1566.00	1438.00	1370.00	1349.16	1344.00	1321.00	1278.00	1224.00	1128.00	896.22
ETH	AFRICA	7.8784	51148.00	60293.00	69388.00	76965.66	78986.00	89566.00	112896.00	137052.00	183404.00	238351.08
FIN	W-OECD	131.4677	4986.00	5108.00	5176.00	5231.92	5246.00	5323.00	5434.00	5469.00	5360.00	4986.83
FJI	SEA	1.8983	724.00	768.00	802.00	822.73	828.00	854.00	888.00	918.00	910.00	834.87
FSM	SEA	0.2211	96.00	107.00	107.00	109.39	110.00	113.00	120.00	129.00	134.00	147.57
GAB	AFRICA	5.2591	918.00	1056.00	1182.00	1268.42	1291.00	1390.00	1599.00	1791.00	2081.00	2296.80
GBR	W-OECD	1578.2800	57237.00	57961.00	58868.00	59967.05	60245.00	61517.00	64033.00	66162.00	68717.00	66856.95
GEO	EEFSU	3.9881	5460.00	5033.00	4720.00	4521.34	4473.00	4301.00	4063.00	3807.00	3134.00	2422.71
GHA	AFRICA	6.0326	15579.00	17887.00	20148.00	22035.98	22535.00	24890.00	29672.00	34234.00	41881.00	46488.67
GIN	AFRICA	3.4953	6033.00	7323.00	8203.00	8836.99	9003.00	10028.00	12966.00	16170.00	22711.00	27570.60
GMB	AFRICA	0.4981	962.00	1159.00	1384.00	1567.46	1617.00	1845.00	2301.00	2770.00	3649.00	4172.80
GNB	AFRICA	0.2102	1017.00	1191.00	1370.00	1548.77	1597.00	1853.00	2513.00	3358.00	5324.00	7862.46
GNQ	AFRICA	2.0187	340.00	382.00	431.00	472.90	484.00	545.00	693.00	854.00	1183.00	1468.45
GRC	W-OECD	132.2446	10161.00	10656.00	10975.00	11074.89	11100.00	11215.00	11274.00	11179.00	10808.00	8280.55
GTM	LA	21.1676	8908.00	10004.00	11229.00	12398.94	12710.00	14377.00	18091.00	21691.00	27473.00	30824.44
GUY	LA	0.7426	731.00	739.00	734.00	738.00	739.00	731.00	700.00	660.00	477.00	338.70
HND	LA	6.7985	4891.00	5570.00	6196.00	6701.35	6834.00	7533.00	9005.00	10298.00	12079.00	12684.38
HRV	EEFSU	21.9164	4517.00	4669.00	4506.00	4541.96	4551.00	4532.00	4369.00	4168.00	3692.00	3341.02
HTI	LA	4.0817	7110.00	7836.00	8573.00	9146.68	9296.00	10060.00	11584.00	12994.00	15275.00	15636.32
HUN	EEFSU	54.7064	10365.00	10329.00	10214.00	10111.47	10086.00	9940.00	9621.00	9259.00	8459.00	6923.03
IDN	SEA	197.1762	182847.00	197411.00	211693.00	223113.01	226063.00	239600.00	261868.00	279666.00	296885.00	275674.38
IND	SEA	581.2234	860195.00	954282.00	1046235.00	1116194.15	1134403.00	1220182.00	1379198.00	1505748.00	1658270.00	1579139.76
IRL	W-OECD	116.1330	3515.00	3609.00	3804.00	4072.87	4143.00	4526.00	5055.00	5475.00	6179.00	5591.53
IRN	ME	126.3234	56674.00	62199.00	66125.00	68748.91	69421.00	74276.00	84244.00	91155.00	100174.00	93277.63
ISL	W-OECD	9.2593	255.00	267.00	281.00	292.94	296.00	308.00	329.00	344.00	355.00	322.73
JAM	LA	8.5029	2369.00	2485.00	2589.00	2663.14	2682.00	2756.00	2872.00	2924.00	2763.00	2604.10
JOR	ME	10.5540	3254.00	4304.00	4799.00	5386.28	5544.00	6453.00	7469.00	8554.00	10121.00	10629.34
KAZ	EEFSU	27.2582	16530.00	15919.00	14954.00	15159.25	15211.00	15759.00	16723.00	17142.00	17312.00	14500.55
