RC	f_obj	2004	2005	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
LA	1249.33251670379	1023.89591078067	1023.92844036697	1025.49222797927	1022.33849918434	1019.51622874807	1007.73348017621	997.071328671329	985.765762711864	975.129605263158	965.105111821086	955.64099378882	941.707380073801	928.045310596833	914.646924004825	901.504659498208	888.61124260355	875.959671746776	863.543205574913	851.355350978136	839.389851767389	827.640677966102
AFRICA	1050.6220338983	965.45551982851	960.430208333333	943.338208409506	937.13431013431	932.154805575935	931.164273789649	930.337009803922	934.922242830646	938.918558077437	942.432568059215	945.546616185518	937.938747419133	930.781389136242	924.035675675676	917.667087011349	911.644857902269	905.94148089172	900.532286212915	895.395085066162	890.509865388162	885.858531317495
EEFSU	854.767509025271	967.412048192771	966.093975903614	957.262019230769	951.997596153846	946.733173076923	930.873798076923	915.014423076923	901.967956469166	888.762773722628	875.395960832313	861.864532019704	854.810314902058	847.661008487269	840.414677054536	833.069331983805	825.622929936306	818.073370959467	810.418496512529	802.656087408949	794.783861671469	786.799472295515
ME	997.770027247956	979.328125	978.877551020408	976.364055299539	977.459119496855	978.373076923077	972.14920071048	966.808580858086	966.310398749023	965.861812778603	965.455767869781	965.086486486486	952.449553336837	940.497443762781	929.175958188153	918.436469447139	908.235224586288	898.532749077491	889.293336334984	880.484608619173	872.077137945853	864.044117647059
CPA	1047.335066313	1013.95777621393	1014.93356643357	1015.16598915989	1012.81997371879	1010.61160714286	997.863340563991	985.814345991561	974.711953265428	963.741810601549	952.901568975725	942.188934667451	927.161978034886	912.200187529302	897.303140167242	882.470416618042	867.701601164483	852.996281663955	838.354049510117	823.774499595048	809.257230271893	794.801843317972
USA	1333.3160163508	1019.88316151203	1023.36518771331	1038.58745874587	1049.90255591054	1060.51702786378	1064.16516516517	1067.60058309038	1086.87617668356	1105.90215827338	1124.6833452466	1143.22443181818	1145.97652714932	1148.70382882883	1151.40667040359	1154.08537946429	1156.74027777778	1159.37168141593	1161.97990088106	1164.56524122807	1167.12800218341	1169.66847826087
W-OECD	987.476615140706	1032.69404517454	1037.40983606557	1056.90020366599	1069.004048583	1080.96177062374	1085.42257742258	1089.82142857143	1104.06813627255	1118.6032388664	1133.43558282209	1148.57438016529	1134.50525881625	1120.48826677645	1106.52311485515	1092.60951599672	1078.747185261	1064.93583980384	1051.17519885784	1037.46498371336	1023.80491769965	1010.19472616633
SEA	801.722511485452	1013.57592686643	1016.47669172932	1025.63798777621	1030.08877573611	1034.04979079498	1028.07792980369	1022.69807764795	1019.14412194231	1015.80654867257	1012.66618000687	1009.70603937271	1000.7847447527	992.001773865055	983.353934415542	974.838131590865	966.451364365971	958.190721977952	950.053380557839	942.03659991211	934.137720446189	926.354160222703
P-OECD	1245.83855278766	1019.06711409396	1022.1744966443	1029.56375838926	1030.06060606061	1030.56081081081	1016.74662162162	1002.93243243243	994.970890410959	986.788194444444	978.375	969.721428571429	1008.06179351922	1050.86602870813	1098.96189669771	1153.39530685921	1215.50724637681	1287.04573804574	1370.3329583802	1468.52205882353	1586.00538358008	1729.08955223881
