CC	2005	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
o_LA	53.2016429152568	55.7537269055931	56.3958740727168	56.9534526454687	58.338867915897	59.5642543083602	60.5032397370644	61.2067619883886	61.6892656455192	61.9645768455764	60.2182963176022	58.4918782326512	56.785711879961	55.1001726020227	53.4356219778484	51.7924080103423	50.1708653174396	48.5713153266873	46.9940664729499	45.439414398931
VEN	117.147615232	131.897553487408	142.046024686767	151.98949891345	163.764440420549	175.394239668983	187.37811823513	199.283243235994	211.091949792245	222.788824967486	218.4795099427	214.21415245687	209.992702735925	205.815099378227	201.681269686345	197.591129996552	193.544586005781	189.54153309582	185.581856654526	181.665432393857
VCT	0.335185184	0.366525021092505	0.382272569728015	0.397697694320396	0.415143995090539	0.431650845435233	0.441241042662052	0.448551949692535	0.453608680814219	0.456442901363867	0.453715285751552	0.450620646518441	0.447174332172275	0.443391473067886	0.439286979846434	0.434875542080089	0.430171627115989	0.425189479113392	0.41994311826786	0.414446340216369
URY	20.670509056	21.3840594989318	21.4559503157888	21.4826446317724	21.8562938137781	22.1555036966181	22.6066816777254	22.9803677816317	23.2815360299009	23.5149328378296	22.5863436378663	21.6831068230401	20.8048096241455	19.9510406734495	19.121390164939	18.3154500084562	17.532813977791	16.7730778528058	16.0358395556693	15.3206992812845
TTO	8.154315776	8.46946013295664	8.4906086223888	8.49428596271899	8.55081556959442	8.57798405197351	8.60836530200962	8.6050301547859	8.57132451892183	8.51036611063049	8.1038757337173	7.71155258716053	7.3330841688124	6.96816048737924	6.61647414534131	6.27772041743599	5.95159732478783	5.63780570477103	5.33604927669198	5.04603470338119
SUR	0.89159776	1.01194115917229	1.09260064202015	1.17361535900219	1.26380923152714	1.3529297692065	1.42553167186213	1.49222381428161	1.55267751053967	1.60662410243088	1.63238049682382	1.65558444227009	1.67630508596956	1.69461085159073	1.71056942537179	1.72424774318124	1.735711978516	1.74502753141485	1.75225901826427	1.75747026247407
SLV	13.134147584	15.5226952136699	17.5760763234741	19.728555732677	22.3523407404324	25.111823478846	28.0827429133966	31.1988189398278	34.4552123275839	37.8470207515984	38.6829431860279	39.4682378150302	40.2036843579189	40.8900606761159	41.5281424495337	42.118702864607	42.6625123138596	43.1603381068829	43.6129441925917	44.021090892615
PRY	7.721718784	9.84608403450656	11.8651805518942	14.0494526746225	16.6215427710592	19.3963657931972	22.4772077774573	25.7844191685692	29.3141320618789	33.0619780697521	34.8076120618449	36.5203820739565	38.1988539819662	39.8416334151301	41.4473653888662	43.0147339208925	44.5424616317063	46.0293093303688	47.4740755865418	48.8755962896997
PRI	61.04489984	62.5170898853538	61.5955465655287	60.4594219795054	59.9640254273265	59.1527670166668	58.4475683482273	57.414770956736	56.0806609614381	54.4699875422462	49.5962830701043	44.9728144033618	40.592398801751	36.4479329808409	32.5323944419585	28.8388427029983	25.3604204325018	22.0903544894154	19.0219568709594	16.148625571059
PER	53.08567552	62.1376257636032	70.2836314993679	78.8180778545728	88.8197004547175	99.2953439215452	110.435363491941	122.049844559575	134.118844039298	146.622663524684	149.594800016187	152.352779135548	154.900982555056	157.243761216545	159.385434050227	161.330286756325	163.082570648417	164.646501557406	166.026258794945	167.225984175172
PAN	11.62050048	13.2228932051932	14.3849121832828	15.5486821130599	16.9629779268918	18.3901476735331	19.8755958588175	21.3810458177339	22.9042018963395	24.4429377762168	24.2761211436322	24.1033268066118	23.9246743676551	23.7402826285252	23.5502695542698	23.3547522389607	23.1538468731233	22.9476687128284	22.7363320504136	22.5199501868045
NIC	3.936327936	5.52863519564233	7.21052599980298	9.05678091786601	11.1806636399077	13.4917760732084	15.9503100681543	18.5798958550387	21.3751802465744	24.3306975230759	26.068302603419	27.7729379240212	29.4433470646074	31.078309637419	32.6766409335843	34.237191555062	35.7588470330508	37.2405274337337	38.6811869522104	40.0798134954476
MEX	581.426413568	629.946642055503	652.734731256191	673.875547077922	700.921531850311	725.95282354672	747.809447357586	767.499194857586	785.130824764168	800.810046136513	770.575003980078	741.182633177596	712.617927518484	684.865954531932	657.911860709067	631.74087650592	606.338321130194	581.689607114989	557.780244682794	534.595845903188
LCA	0.6832	0.753083335175203	0.793158758734236	0.832191896461291	0.880100816813951	0.926747698022814	0.978029134555782	1.0282187046787	1.07731194622715	1.12530933788655	1.09919441366977	1.07341977817991	1.04798529143528	1.02289071826255	0.998135730885029	0.973719911496295	0.949642754817147	0.925903670633944	0.902501986316534	0.879436949314071
JAM	8.027264512	8.75660019284502	9.17047906151469	9.57939132098837	10.0897144162384	10.586814928125	11.034377325273	11.4532640511902	11.8437618214588	12.2062429667798	12.1681756571059	12.1227573914493	12.0702148123644	12.0107718981048	11.9446499248231	11.8720674318755	11.7932401901563	11.70838117338	11.617700532234	11.5214055713185
HTI	3.696529664	6.3500782102786	9.21614518730982	12.4043606214937	16.1743336660048	20.3465927498676	25.1485016863792	30.4227066068998	36.1654272224488	42.3713701814093	45.5643194344818	48.6415552152634	51.6037667216947	54.4516619768757	57.185967000898	59.8074249956661	62.3167955430445	64.7148538166386	67.0023898074827	69.1802075638827
HND	5.962758144	8.26419998840202	10.6840590304541	13.3739534033232	16.5269306873924	19.9967454975615	23.7952966811113	27.9212077929802	32.3706740578335	37.138971430915	39.3545210976682	41.4999725978127	43.5751158265054	45.5797653321029	47.5137597636332	49.3769613183057	51.169255189606	52.8905490165014	54.5407723342554	56.1198760273306
GUY	0.712328832	0.867496394733169	0.985124214973409	1.09544270385791	1.21626508634179	1.32935135733616	1.40317026379058	1.4562542115673	1.48704296021746	1.49423136845476	1.52523358007217	1.54856371254721	1.56455961645596	1.57355422306609	1.57587551308954	1.57184648994156	1.56178515736876	1.54600450130903	1.52481247584595	1.49851199312116
GTM	19.290566656	24.8728274972376	30.6908847927308	37.0535772954734	44.7690910545186	53.2005629752002	62.590185017897	72.8068628343712	83.8454650144015	95.6980478849715	100.198679098003	104.612787022984	108.936578489724	113.166365357924	117.298563548973	121.329692033699	125.256371778679	129.075324653671	132.783372302656	136.377434980936
ECU	15.94164224	19.8152579721158	23.5376334102754	27.5054556273543	32.0991784762853	36.9833480211819	42.1653316920114	47.6156926423582	53.3221039495639	59.2724914403269	61.5373001605882	63.6609657795345	65.6466073807285	67.4973189119085	69.2161683593529	70.8061969665161	72.2704184961009	73.6118185347136	74.8333538392245	75.9379517239397
DOM	19.703281664	23.2579389017385	26.2345105868497	29.3467197207626	33.0058643685219	36.8342482071889	40.8065663556116	44.9379130643458	49.2214263995686	53.6503458355116	54.3437197471675	54.9569576246892	55.4923425233182	55.9521324154543	56.3385597633688	56.653831123444	56.9001267811838	57.0796004162362	57.1943787966543	57.2465615016236
CRI	15.946326016	17.9902387384652	19.3898965336372	20.7848702434694	22.4698631134632	24.1580076431429	25.9094198732644	27.6692660467178	29.4354709708673	31.2061518714699	30.8020607749514	30.3942669668234	29.982996033391	29.5684698667235	29.150906654638	28.7305208736389	28.307523284711	27.8821209318683	27.4545171433573	27.0249115354169
COL	83.778625536	99.1180613075601	111.831093585373	125.124805543445	140.713127958976	156.999833833856	174.088973157685	191.8157392235	210.145750092259	229.04578118822	234.899925297114	240.436729895785	245.66032086642	250.574828520515	255.184385508741	259.493124794317	263.505177689619	267.22467195563	270.655729963822	273.802466919951
CHL	75.775148032	82.2946044917009	85.7830057461533	89.1214632718625	93.4358318942925	97.5590102441234	101.701955868145	105.639746540187	109.379583484099	112.928717556658	110.434202077782	107.974359760993	105.54896126055	103.157772071761	100.800552777285	98.477059289271	96.1870430872186	93.9302514515017	91.706427692474	89.515311375097
BRA	601.732022272	676.673109576964	726.93821432667	777.482154100166	837.992926699712	898.848439995463	963.393082095118	1028.32973988828	1093.59492448314	1159.13048742111	1147.58447200374	1135.55322214691	1123.05861676887	1110.12221287103	1096.76524360312	1083.00861661964	1068.87291271872	1054.37838475457	1039.54495681431	1024.39222365046
BOL	8.397858304	11.418821522402	14.4217815286034	17.7117894726199	21.5569635764755	25.7438388390485	30.3386416915562	35.289915103696	40.5910273097578	46.2346175343672	49.017787104303	51.7243557459342	54.3534531341718	56.9042494100656	59.3759545251256	61.7678175776914	64.0791261422972	66.30920559295	68.4574184212114	70.5231635499371
BLZ	0.832	0.978697053121838	1.0967580754335	1.21756876928897	1.35781900553297	1.5023563546155	1.65813428769531	1.81952845388785	1.98626299895804	2.15806931357232	2.15786041975104	2.15641336619924	2.15375525375757	2.14991296827393	2.14491317333961	2.13878230341043	2.13154655730593	2.12323189207899	2.11386401724864	2.10346838938804
BHS	4.88	5.16643337711643	5.24760536371126	5.29851299778751	5.38846438295818	5.44362460032284	5.49038496025361	5.50301624028126	5.48228405780638	5.42900954352702	4.99716408241372	4.5824188765358	4.18439832687199	3.8027298312964	3.43704388479461	3.08697417434474	2.75215766856318	2.43223470221753	2.12684905571152	1.83564802964908
ARG	284.20374528	302.954334834503	310.472741069306	316.917367623067	326.866017596361	335.50482215621	345.583398893641	354.388529501703	361.948742263116	368.294641062828	351.3343943279	334.858056071236	318.858091421887	303.326985002009	288.257244013398	273.641401211653	259.472017769095	245.741686027684	232.443032143249	219.568718622435
o_AFRICA	6.34954843025062	8.15643493406584	8.85589097490391	9.47206404979657	11.4429768586746	13.3852742309399	15.4255240953544	17.4110794056369	19.3337768207943	21.1900425051274	22.7119510221854	24.2158315020257	25.6998149183718	27.1626359816364	28.6035209744211	30.0220912914349	31.4182816391245	32.7922714883039	34.1444282274313	35.4752604595179
LBY	34.495012864	39.7272673927325	38.3235833730639	36.6832054523858	39.0523441847979	40.4545380268383	41.061028539284	40.9088854837447	40.1299810304627	38.8371350137441	35.6063462590005	32.3895403765294	29.2081403837923	26.0790985651075	23.0155743620845	20.0275409595018	17.1223188585651	14.3050388478478	11.5790392478177	8.94620359754849
ZWE	7.39922432	8.77933219620395	8.91929214069531	9.03500057465164	10.3961065086879	11.6683338857144	12.9462839599737	14.1370621945697	15.248195790002	16.287596060485	16.5832975556439	16.8452130778789	17.0764049420776	17.2797513492078	17.4579304011502	17.6134141134973	17.7484696406994	17.8651655108829	17.9653811680102	18.0508185340227
ZMB	3.237720064	4.37408258282892	4.98462865756087	5.58062630771125	7.06395654321636	8.62907796386823	10.3180288891868	12.0552198651016	13.8265845988618	15.621185311805	16.7219495763391	17.8098677232111	18.8836400538112	19.9423906374316	20.9855883366358	22.0129789279982	23.0245275697446	24.0203706160441	25.0007756777035	25.9661088277653
ZAF	132.877647872	143.977514252845	131.869204191853	120.671098470587	126.080317113876	128.609325376706	129.305535988039	127.970089896074	125.077049653551	121.008655558596	113.457990391943	105.908147992088	98.4162629442011	91.02801017054	83.7792977998919	76.6977904465263	69.8042557532381	63.1137380307521	56.6365695521849	50.3792337434267
UGA	5.926505984	9.07030636605587	11.6348964350265	14.2876907716722	19.7982146496857	26.0245226416877	33.4340320915035	41.4915843275146	50.0996080445583	59.1717190753823	66.7055363185429	74.4990513218054	82.5223114143919	90.7480644326251	99.1516918380377	107.711083971925	116.406479666893	125.220286722727	134.136895152499	143.142491501176
TZA	9.079262208	13.0084558950971	15.5083259032298	18.0069179639837	23.4305756604778	29.2904936737586	35.5660465784086	42.1087245134039	48.8572939246488	55.7622240390082	59.5752786234125	63.2987378161093	66.9299289266652	70.4678539309674	73.9128277653289	77.2661750839576	80.5299794536408	83.7068784315818	86.7998980277925	89.8123204572943
TUN	19.468374016	21.8345261399333	20.7429347748931	19.6644428763095	21.0734347412877	22.0465960449757	22.4637297845112	22.5496431280586	22.3766368481766	22.0037243462433	20.8153581277945	19.6307811612103	18.45945132925	17.3088830737716	16.1849391520014	15.0920922581771	14.0336555871799	13.0119832345645	12.0286424257757	11.0845601533727
