CC	RC	2004	1990	1995	2000	2004	2005	2010	2020	2030	2050	2100
AGO	AFRICA	12	10534	12317	13930	15637	16095	18493	24169	30652	44566	65116
ALB	EEFSU	5	3289	3150	3080	3139	3154	3245	3430	3519	3451	3058
ARE	ME	96	1867	2432	3247	3916	4104	4732	5774	6753	8521	7568
ARG	LA	287	32581	34835	36896	38370	38747	40738	44486	47534	51382	49628
ARM	EEFSU	3	3545	3227	3082	3031	3018	2987	2955	2838	2458	1709
AUS	P-OECD	444	16873	18072	19139	20070	20310	21362	23418	25287	28041	26969
AUT	W-OECD	203	7729	8047	8111	8255	8292	8442	8575	8643	8500	7144
AZE	EEFSU	8	7212	7791	8143	8310	8352	8671	9307	9599	9404	8873
BDI	AFRICA	1	5692	6242	6668	7605	7859	9553	13062	17232	28315	40181
BEL	W-OECD	242	9933	10084	10193	10357	10398	10522	10684	10780	10643	9937
BEN	AFRICA	3	5179	6209	7227	8221	8490	9872	12874	16076	22506	27034
BFA	AFRICA	3	8871	10271	11882	13496	13933	16097	21034	26505	37503	57688
BGD	SEA	56	113049	126297	139434	150406	153281	166638	193333	217932	254084	259420
BGR	EEFSU	15	8819	8357	8003	7796	7745	7471	6873	6224	4949	3738
BHR	ME	10	493	578	650	709	725	792	917	1025	1173	1093
BHS	LA	6	255	280	303	319	323	343	381	412	449	415
BIH	EEFSU	5	4308	3421	3787	3889	3915	3942	3833	3653	3160	2427
BLR	EEFSU	17	10260	10266	10052	9846	9795	9529	8974	8346	6960	5304
BLZ	LA	1	186	214	245	270	276	306	363	413	487	475
BOL	LA	9	6669	7482	8317	9002	9182	10031	11638	13034	14908	15940
BRA	LA	655	149522	161615	174161	184225	186831	198982	219992	236480	254085	231536
BTN	SEA	1	547	507	559	621	637	684	780	851	935	1135
BWA	AFRICA	6	1367	1566	1729	1814	1836	1953	2165	2358	2703	2681
CAF	AFRICA	1	3008	3450	3864	4123	4191	4592	5434	6214	7609	8715
CAN	W-OECD	789	27701	29302	30689	31948	32271	33752	36588	39105	42754	39635
CHE	W-OECD	254	6834	7133	7263	7392	7424	7567	7838	8104	8434	7007
CHL	LA	88	13179	14395	15412	16114	16295	17134	18639	19778	20655	20233
CIV	AFRICA	10	12780	14986	17049	18267	18585	20375	24315	28088	34704	37915
CMR	AFRICA	11	12239	14058	15861	17390	17795	19662	23352	26892	33144	35930
COD	AFRICA	5	37942	45339	50689	57034	58741	69010	93375	122734	186837	250532
COG	AFRICA	4	2422	2793	3203	3525	3610	4011	4907	5824	7561	10344
COL	LA	94	34875	38259	41683	44274	44946	47890	53238	57577	61860	61886
COM	AFRICA	0	527	607	699	777	798	902	1112	1325	1715	2073
CPV	AFRICA	1	355	401	451	495	507	567	690	808	1002	1028
CRI	LA	18	3076	3475	3929	4244	4327	4665	5276	5795	6426	6108
CYP	W-OECD	10	681	731	786	826	836	882	975	1056	1183	1044
CZE	EEFSU	63	10303	10310	10220	10198	10192	10175	10043	9728	8825	6861
DEU	W-OECD	1956	79433	81661	82309	82583	82652	82365	81161	79348	74088	68400
DJI	AFRICA	1	561	624	730	789	804	877	1027	1197	1480	1810
DNK	W-OECD	166	5140	5228	5335	5400	5417	5473	5544	5602	5528	5139
DOM	LA	22	7295	8013	8744	9320	9470	10191	11557	12709	13972	12939
DZA	AFRICA	64	25283	28265	30506	32370	32854	35423	40630	44726	49610	46491
ECU	LA	19	10272	11396	12306	12906	13061	13775	15376	16679	17988	17164
EGY	AFRICA	117	55137	60648	66529	71539	72850	79537	92578	104070	121219	125417
ERI	AFRICA	1	3158	3213	3684	4344	4527	5323	6937	8433	11465	14044
ESP	W-OECD	655	38851	39388	40229	42744	43397	45108	46445	46682	46401	36193
EST	EEFSU	7	1566	1438	1370	1349	1344	1321	1278	1224	1128	896
ETH	AFRICA	8	51148	60293	69388	76966	78986	89566	112896	137052	183404	238351
FIN	W-OECD	131	4986	5108	5176	5232	5246	5323	5434	5469	5360	4987
FJI	SEA	2	724	768	802	823	828	854	888	918	910	835
FSM	SEA	0	96	107	107	109	110	113	120	129	134	148
GAB	AFRICA	5	918	1056	1182	1268	1291	1390	1599	1791	2081	2297
GBR	W-OECD	1578	57237	57961	58868	59967	60245	61517	64033	66162	68717	66857
GEO	EEFSU	4	5460	5033	4720	4521	4473	4301	4063	3807	3134	2423
GHA	AFRICA	6	15579	17887	20148	22036	22535	24890	29672	34234	41881	46489
GIN	AFRICA	3	6033	7323	8203	8837	9003	10028	12966	16170	22711	27571
GMB	AFRICA	0	962	1159	1384	1567	1617	1845	2301	2770	3649	4173
GNB	AFRICA	0	1017	1191	1370	1549	1597	1853	2513	3358	5324	7862
GNQ	AFRICA	2	340	382	431	473	484	545	693	854	1183	1468
GRC	W-OECD	132	10161	10656	10975	11075	11100	11215	11274	11179	10808	8281
GTM	LA	21	8908	10004	11229	12399	12710	14377	18091	21691	27473	30824
GUY	LA	1	731	739	734	738	739	731	700	660	477	339
HND	LA	7	4891	5570	6196	6701	6834	7533	9005	10298	12079	12684
HRV	EEFSU	22	4517	4669	4506	4542	4551	4532	4369	4168	3692	3341
HTI	LA	4	7110	7836	8573	9147	9296	10060	11584	12994	15275	15636
HUN	EEFSU	55	10365	10329	10214	10111	10086	9940	9621	9259	8459	6923
IDN	SEA	197	182847	197411	211693	223113	226063	239600	261868	279666	296885	275674
IND	SEA	581	860195	954282	1046235	1116194	1134403	1220182	1379198	1505748	1658270	1579140
IRL	W-OECD	116	3515	3609	3804	4073	4143	4526	5055	5475	6179	5592
IRN	ME	126	56674	62199	66125	68749	69421	74276	84244	91155	100174	93278
ISL	W-OECD	9	255	267	281	293	296	308	329	344	355	323
JAM	LA	9	2369	2485	2589	2663	2682	2756	2872	2924	2763	2604
JOR	ME	11	3254	4304	4799	5386	5544	6453	7469	8554	10121	10629
KAZ	EEFSU	27	16530	15919	14954	15159	15211	15759	16723	17142	17312	14501
KEN	AFRICA	14	23447	27380	31252	34684	35599	40645	51691	62762	84757	88283
KGZ	EEFSU	2	4395	4591	4946	5151	5204	5497	6024	6343	6566	6133
KHM	CPA	5	9698	11395	12780	13712	13956	15224	18102	20761	25114	29227
KOR	SEA	613	42869	45008	46780	47650	47870	48673	49221	48411	42327	33967
